,epoch,F1_score_train,F1_score_val,F1_score_test
95,4800.0,0.6723154072280824,0.6621621621621622,0.6411483253588517
96,4850.0,0.6727775856105154,0.6621621621621622,0.6407663650878127
97,4900.0,0.6716495741352337,0.6600522193211488,0.6381156316916489
98,4950.0,0.6713019294281245,0.6603970741901777,0.6403415154749199
99,5000.0,0.6716495741352337,0.6607422895974908,0.6417910447761194
100,5050.0,0.6717690033049226,0.661787767903816,0.6410666666666667
101,5100.0,0.6717716672467804,0.6624869383490073,0.6411075612353567
102,5150.0,0.670846394984326,0.6624869383490073,0.6414491209376665
103,5200.0,0.6706169397002439,0.6621338912133892,0.6414491209376665
104,5250.0,0.6707317073170732,0.6614338042909471,0.6414491209376665
105,5300.0,0.6702702702702703,0.6617801047120419,0.6410666666666667
106,5350.0,0.6717716672467804,0.6624803767660911,0.6411075612353567
